Unique Key,Created Date Year,Created Date Month,Created Date Day,Created Date Time Of Day,Closed Date Year,Closed Date Month,Closed Date Day,Closed Date Time Of Day,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date Year,Resolution Action Updated Date Month,Resolution Action Updated Date Day,Resolution Action Updated Date Time Of Day,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
47907454,2020,October,Evening,9,2020,October,Evening,11,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11235.0,3019 BRIGHTON    1 STREET,BRIGHTON    1 STREET,BRIGHTON    1 COURT,BRIGHTON    1 PLACE,BRIGHTON    1 COURT,BRIGHTON    1 PLACE,nan,BROOKLYN,BRIGHTON    1 STREET,nan,Closed,nan,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2020,October,Evening,15,13 BROOKLYN,3086710010.0,BROOKLYN,993480.0,149902.0,ONLINE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.57811758382253,-73.96677319220258,"(40.57811758382253, -73.96677319220258)"
47907455,2020,October,Evening,20,2020,October,Evening,20,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11426.0,71-02 252 STREET,252 STREET,71 AVENUE,71 ROAD,71 AVENUE,71 ROAD,nan,BELLEROSE,252 STREET,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,October,Evening,0,13 QUEENS,4084010675.0,QUEENS,1061220.0,213246.0,MOBILE,Unspecified,QUEENS,nan,nan,nan,nan,nan,nan,nan,40.75165254931819,-73.72219568650179,"(40.75165254931819, -73.7221956865018)"
46058877,2020,April,Night,17,2020,April,Night,17,NYPD,New York City Police Department,Non-Emergency Police Matter,Social Distancing,Store/Commercial,10458.0,603 EAST  187 STREET,EAST  187 STREET,ARTHUR AVENUE,HUGHES AVENUE,ARTHUR AVENUE,HUGHES AVENUE,nan,BRONX,EAST  187 STREET,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,April,Night,21,06 BRONX,2030770001.0,BRONX,1015398.0,250972.0,ONLINE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.85548009525475,-73.88740360554516,"(40.85548009525475, -73.88740360554515)"
48160569,2020,November,Afternoon,4,2020,November,Evening,19,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10468.0,212 WEST FORDHAM ROAD,WEST FORDHAM ROAD,nan,nan,nan,nan,ADDRESS,BRONX,nan,nan,Closed,nan,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2020,November,Evening,19,07 BRONX,2032340065.0,BRONX,1009139.0,253408.0,PHONE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.862186043794615,-73.910020098724,"(40.862186043794615, -73.910020098724)"
48160573,2020,November,Afternoon,17,2020,November,Evening,16,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11210.0,3720 AVENUE L,AVENUE L,nan,nan,nan,nan,ADDRESS,BROOKLYN,nan,nan,Closed,nan,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2020,November,Evening,16,18 BROOKLYN,3076550045.0,BROOKLYN,1001166.0,166166.0,PHONE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.62274762055558,-73.93906386333451,"(40.62274762055558, -73.93906386333452)"
48160574,2020,November,Afternoon,21,2020,November,Evening,10,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11249.0,314 BEDFORD AVENUE,BEDFORD AVENUE,nan,nan,nan,nan,ADDRESS,BROOKLYN,nan,nan,Closed,nan,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2020,November,Evening,10,01 BROOKLYN,3024050024.0,BROOKLYN,994824.0,199278.0,PHONE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.71364250131899,-73.96185756996991,"(40.71364250131899, -73.9618575699699)"
48160576,2020,November,Afternoon,14,2020,November,Evening,10,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10032.0,974 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,nan,nan,nan,nan,ADDRESS,NEW YORK,nan,nan,Closed,nan,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2020,November,Evening,10,12 MANHATTAN,1021090018.0,MANHATTAN,1000774.0,243105.0,PHONE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.83392697527902,-73.94028702542984,"(40.83392697527902, -73.94028702542985)"
48160577,2020,November,Afternoon,14,2020,November,Evening,10,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10452.0,1083 WALTON AVENUE,WALTON AVENUE,nan,nan,nan,nan,ADDRESS,BRONX,nan,nan,Closed,nan,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2020,November,Evening,10,04 BRONX,2024780052.0,BRONX,1006044.0,242430.0,PHONE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.832062862790615,-73.92124496604751,"(40.83206286279062, -73.92124496604752)"
47907463,2020,October,Evening,5,,,,,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10456.0,960 SHERIDAN AVENUE,SHERIDAN AVENUE,nan,nan,nan,nan,ADDRESS,BRONX,nan,nan,Open,nan,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2020,October,Evening,0,04 BRONX,2024550006.0,BRONX,1006430.0,241210.0,PHONE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.828713352985076,-73.91985414663745,"(40.82871335298508, -73.91985414663745)"
48034737,2020,October,Night,23,2020,November,Night,0,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221.0,600 GATES AVENUE,GATES AVENUE,THROOP AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE,MARCUS GARVEY BOULEVARD,nan,BROOKLYN,GATES AVENUE,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,November,Night,4,03 BROOKLYN,3018160001.0,BROOKLYN,1000631.0,189691.0,MOBILE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.687319588404215,-73.94093393966676,"(40.687319588404215, -73.94093393966676)"
48160581,2020,November,Afternoon,18,2020,November,Evening,9,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11238.0,376 CLINTON AVENUE,CLINTON AVENUE,nan,nan,nan,nan,ADDRESS,BROOKLYN,nan,nan,Closed,nan,The Department of Housing Preservation and Development contacted an occupant of the apartment or building and verified that the complaint was addressed.  The complaint has been closed.,2020,November,Evening,9,02 BROOKLYN,nan,BROOKLYN,993232.0,189594.0,ONLINE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.68706394690476,-73.9676131315646,"(40.68706394690476, -73.9676131315646)"
48160582,2020,November,Afternoon,7,2020,November,Evening,20,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10451.0,510 EAST  163 STREET,EAST  163 STREET,nan,nan,nan,nan,ADDRESS,BRONX,nan,nan,Closed,nan,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2020,November,Evening,20,03 BRONX,2023670017.0,BRONX,1009359.0,239585.0,PHONE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.824245352228786,-73.90927650184918,"(40.82424535222879, -73.90927650184918)"
48160583,2020,November,Afternoon,22,2020,November,Evening,18,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10468.0,2505 UNIVERSITY AVENUE,UNIVERSITY AVENUE,nan,nan,nan,nan,ADDRESS,BRONX,nan,nan,Closed,nan,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2020,November,Evening,18,07 BRONX,2032200110.0,BRONX,1011060.0,254680.0,ONLINE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.86567167175687,-73.90307012473059,"(40.865671671756864, -73.90307012473059)"
48160584,2020,November,Afternoon,18,2020,November,Evening,19,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10472.0,1163 BEACH AVENUE,BEACH AVENUE,nan,nan,nan,nan,ADDRESS,BRONX,nan,nan,Closed,nan,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2020,November,Evening,19,09 BRONX,2037530044.0,BRONX,1021410.0,241355.0,PHONE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.82906101434147,-73.8657242460269,"(40.82906101434147, -73.8657242460269)"
48160585,2020,November,Afternoon,18,2020,November,Evening,19,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10455.0,600 TIMPSON PLACE,TIMPSON PLACE,nan,nan,nan,nan,ADDRESS,BRONX,nan,nan,Closed,nan,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2020,November,Evening,19,02 BRONX,2026030078.0,BRONX,1011292.0,235060.0,MOBILE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.81181980030004,-73.90231045141026,"(40.811819800300036, -73.90231045141026)"
48160588,2020,November,Afternoon,19,2020,November,Evening,20,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10460.0,1769 VYSE AVENUE,VYSE AVENUE,nan,nan,nan,nan,ADDRESS,BRONX,nan,nan,Closed,nan,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2020,November,Evening,20,03 BRONX,2029910093.0,BRONX,1015876.0,244322.0,ONLINE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.83722611757308,-73.88570705809101,"(40.83722611757308, -73.88570705809101)"
48160589,2020,November,Afternoon,19,2020,November,Evening,17,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10460.0,852 ELSMERE PLACE,ELSMERE PLACE,nan,nan,nan,nan,ADDRESS,BRONX,nan,nan,Closed,nan,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2020,November,Evening,17,06 BRONX,2029600123.0,BRONX,1015492.0,246260.0,PHONE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.84254672584075,-73.88708576308821,"(40.84254672584075, -73.88708576308821)"
48160593,2020,November,Afternoon,5,2020,November,Evening,20,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10453.0,1750 GRAND AVENUE,GRAND AVENUE,nan,nan,nan,nan,ADDRESS,BRONX,nan,nan,Closed,nan,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2020,November,Evening,20,05 BRONX,2028670118.0,BRONX,1008201.0,248727.0,ONLINE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.849340697752865,-73.9134279237817,"(40.849340697752865, -73.91342792378171)"
47907472,2020,October,Evening,2,2020,October,Evening,2,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11692.0,54-15 ALMEDA AVENUE,ALMEDA AVENUE,BEACH   54 STREET,BEACH   58 STREET,BEACH   54 STREET,BEACH   58 STREET,nan,ARVERNE,ALMEDA AVENUE,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,October,Evening,6,14 QUEENS,4160020001.0,QUEENS,1043821.0,157096.0,MOBILE,Unspecified,QUEENS,nan,nan,nan,nan,nan,nan,nan,40.597668278891966,-73.78548909437147,"(40.597668278891966, -73.78548909437147)"
48160594,2020,November,Afternoon,18,2020,November,Evening,2,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11204.0,209 AVENUE P,AVENUE P,nan,nan,nan,nan,ADDRESS,BROOKLYN,nan,nan,Closed,nan,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2020,November,Evening,2,11 BROOKLYN,3066000045.0,BROOKLYN,989722.0,160795.0,ONLINE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.60801979671713,-73.98029268409294,"(40.60801979671715, -73.98029268409293)"
48160595,2020,November,Afternoon,21,2020,November,Evening,11,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10452.0,1307 MERRIAM AVENUE,MERRIAM AVENUE,nan,nan,nan,nan,ADDRESS,BRONX,nan,nan,Closed,nan,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2020,November,Evening,11,04 BRONX,2025320043.0,BRONX,1004684.0,245579.0,MOBILE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.84070920451853,-73.92614988089196,"(40.840709204518525, -73.92614988089196)"
48160596,2020,November,Afternoon,17,2020,November,Evening,19,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10040.0,374 WADSWORTH AVENUE,WADSWORTH AVENUE,nan,nan,nan,nan,ADDRESS,NEW YORK,nan,nan,Closed,nan,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2020,November,Evening,19,12 MANHATTAN,1021700260.0,MANHATTAN,1003662.0,251356.0,PHONE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.85656766459356,-73.92982674386413,"(40.856567664593555, -73.92982674386413)"
48160598,2020,November,Afternoon,7,2020,November,Evening,19,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10461.0,3108 WILKINSON AVENUE,WILKINSON AVENUE,nan,nan,nan,nan,ADDRESS,BRONX,nan,nan,Closed,nan,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2020,November,Evening,19,10 BRONX,2042380015.0,BRONX,1031625.0,249602.0,MOBILE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.85164769888888,-73.82875469468735,"(40.851647698888875, -73.82875469468735)"
48160602,2020,November,Afternoon,18,2020,November,Evening,12,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10467.0,282 EAST GUN HILL ROAD,EAST GUN HILL ROAD,nan,nan,nan,nan,ADDRESS,BRONX,nan,nan,Closed,nan,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2020,November,Evening,12,07 BRONX,2033430180.0,BRONX,1018836.0,259669.0,PHONE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.87933789052908,-73.8749307644505,"(40.87933789052908, -73.8749307644505)"
48160603,2020,November,Afternoon,14,2020,November,Evening,16,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10468.0,2615 JEROME AVENUE,JEROME AVENUE,nan,nan,nan,nan,ADDRESS,BRONX,nan,nan,Closed,nan,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2020,November,Evening,16,07 BRONX,2032020053.0,BRONX,1012349.0,254870.0,PHONE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.86618915477058,-73.89840903340249,"(40.86618915477058, -73.89840903340249)"
48160604,2020,November,Afternoon,20,2020,November,Evening,2,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10457.0,1515 SELWYN AVENUE,SELWYN AVENUE,nan,nan,nan,nan,ADDRESS,BRONX,nan,nan,Closed,nan,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2020,November,Evening,2,04 BRONX,2028190051.0,BRONX,1009067.0,245630.0,ONLINE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.840837954747045,-73.910309187823,"(40.84083795474705, -73.910309187823)"
48160606,2020,November,Afternoon,13,2020,November,Evening,18,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11385.0,76-22 60 LANE,60 LANE,nan,nan,nan,nan,ADDRESS,Ridgewood,nan,nan,Closed,nan,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2020,November,Evening,18,05 QUEENS,4035820029.0,QUEENS,1013492.0,193049.0,ONLINE,Unspecified,QUEENS,nan,nan,nan,nan,nan,nan,nan,40.69650336972965,-73.89454563574334,"(40.69650336972965, -73.89454563574334)"
48160611,2020,November,Afternoon,13,2020,November,Evening,19,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10034.0,570 WEST  204 STREET,WEST  204 STREET,nan,nan,nan,nan,ADDRESS,NEW YORK,nan,nan,Closed,nan,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,2020,November,Evening,19,12 MANHATTAN,1022210022.0,MANHATTAN,1005949.0,254270.0,PHONE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.864560389614645,-73.92154994150562,"(40.86456038961465, -73.92154994150562)"
46058987,2020,April,Night,10,2020,April,Night,11,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11208.0,642 ELDERT LANE,ELDERT LANE,CONDUIT BOULEVARD,DEAD END,CONDUIT BOULEVARD,DEAD END,nan,BROOKLYN,ELDERT LANE,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,April,Night,15,05 BROOKLYN,3042570001.0,BROOKLYN,1021953.0,185106.0,MOBILE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.67466967511534,-73.86407752875657,"(40.67466967511534, -73.86407752875657)"
48160613,2020,November,Afternoon,9,2020,November,Evening,19,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10451.0,775 CONCOURSE VILLAGE EAST,CONCOURSE VILLAGE EAST,nan,nan,nan,nan,ADDRESS,BRONX,nan,nan,Closed,nan,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2020,November,Evening,19,04 BRONX,2024430170.0,BRONX,1006457.0,239210.0,PHONE,Unspecified,BRONX,nan,nan,nan,nan,nan,nan,nan,40.82322385673756,-73.91976320372417,"(40.823223856737556, -73.91976320372417)"
48160614,2020,November,Afternoon,10,2020,November,Evening,14,DOT,Department of Transportation,Street Light Condition,Street Light Out,nan,11385.0,1875 MADISON STREET,MADISON STREET,ONDERDONK AVE,WOODWARD AVE,MADISON STREET,ONDERDONK AVENUE,INTERSECTION,Ridgewood,nan,nan,Closed,nan,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",2020,November,Evening,14,05 QUEENS,4034700036.0,QUEENS,1010512.0,195354.0,UNKNOWN,Unspecified,QUEENS,nan,nan,nan,nan,nan,nan,nan,40.702839397761224,-73.90528330480709,"(40.70283939776123, -73.9052833048071)"
48160615,2020,November,Afternoon,2,2020,November,Evening,20,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10035.0,375 PLEASANT AVENUE,PLEASANT AVENUE,nan,nan,nan,nan,ADDRESS,NEW YORK,nan,nan,Closed,nan,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2020,November,Evening,20,11 MANHATTAN,1018070028.0,MANHATTAN,1003235.0,229810.0,ONLINE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.79743098704167,-73.9314312917234,"(40.797430987041665, -73.93143129172341)"
48160616,2020,November,Afternoon,19,2020,November,Night,7,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,11436.0,119-09 145 STREET,145 STREET,nan,nan,nan,nan,ADDRESS,Jamaica,nan,nan,Closed,nan,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2020,November,Night,7,12 QUEENS,4120250051.0,QUEENS,1040951.0,186331.0,PHONE,Unspecified,QUEENS,nan,nan,nan,nan,nan,nan,nan,40.67793071698692,-73.79557804941831,"(40.67793071698692, -73.79557804941832)"
48160624,2020,November,Afternoon,15,2020,November,Evening,12,DOT,Department of Transportation,Street Light Condition,Street Light Out,nan,11219.0,1135 BAY RIDGE AVENUE,BAY RIDGE AVENUE,11 AVE,12 AVE,nan,nan,ADDRESS,BROOKLYN,nan,nan,Closed,nan,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2020,November,Evening,12,10 BROOKLYN,3057730056.0,BROOKLYN,982188.0,167289.0,UNKNOWN,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.62584593001193,-74.00742824170857,"(40.62584593001193, -74.00742824170857)"
48160630,2020,November,Afternoon,16,2020,November,Evening,16,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10028.0,433 EAST   82 STREET,EAST   82 STREET,nan,nan,nan,nan,ADDRESS,NEW YORK,nan,nan,Closed,nan,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2020,November,Evening,16,08 MANHATTAN,1015620019.0,MANHATTAN,997987.0,221248.0,PHONE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.77394030313917,-73.95040315858131,"(40.77394030313917, -73.95040315858131)"
48160632,2020,November,Afternoon,4,,,,,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10031.0,559 WEST  149 STREET,WEST  149 STREET,nan,nan,nan,nan,ADDRESS,NEW YORK,nan,nan,Open,nan,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2020,November,Afternoon,0,09 MANHATTAN,1020810006.0,MANHATTAN,998837.0,241103.0,PHONE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.828435472653496,-73.94729113669881,"(40.828435472653496, -73.94729113669881)"
48160639,2020,November,Afternoon,13,2020,November,Evening,17,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11218.0,723 EAST    5 STREET,EAST    5 STREET,nan,nan,nan,nan,ADDRESS,BROOKLYN,nan,nan,Closed,nan,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2020,November,Evening,17,12 BROOKLYN,3053990067.0,BROOKLYN,991513.0,170477.0,MOBILE,Unspecified,BROOKLYN,nan,nan,nan,nan,nan,nan,nan,40.634593579240644,-73.97383201146107,"(40.63459357924065, -73.97383201146106)"
47907532,2020,October,Evening,3,2020,October,Evening,4,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11428.0,90-01 213 STREET,213 STREET,90 AVENUE,91 AVENUE,90 AVENUE,91 AVENUE,nan,QUEENS VILLAGE,213 STREET,nan,Closed,nan,The Police Department responded and upon arrival those responsible for the condition were gone.,2020,October,Evening,8,13 QUEENS,4106460022.0,QUEENS,1053905.0,202526.0,ONLINE,Unspecified,QUEENS,nan,nan,nan,nan,nan,nan,nan,40.722289570186035,-73.74870822400689,"(40.72228957018604, -73.74870822400689)"
46059006,2020,April,Night,10,2020,April,Night,11,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10012.0,280 MULBERRY STREET,MULBERRY STREET,JERSEY STREET,EAST HOUSTON STREET,JERSEY STREET,EAST HOUSTON STREET,nan,NEW YORK,MULBERRY STREET,nan,Closed,nan,The Police Department responded to the complaint and took action to fix the condition.,2020,April,Night,15,02 MANHATTAN,1005090014.0,MANHATTAN,985589.0,203199.0,ONLINE,Unspecified,MANHATTAN,nan,nan,nan,nan,nan,nan,nan,40.72441092063063,-73.99516919191223,"(40.72441092063063, -73.99516919191223)"
46059009,2020,April,Night,7,2020,April,Night,7,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Horn,Store/Commercial,11356.0,129-02 23 AVENUE,23 AVENUE,129 STREET,130 STREET,129 STREET,130 STREET,nan,COLLEGE POINT,23 AVENUE,nan,Closed,nan,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2020,April,Night,11,07 QUEENS,4042340029.0,QUEENS,1028670.0,222985.0,ONLINE,Unspecified,QUEENS,nan,nan,nan,nan,nan,nan,nan,40.77860696835389,-73.83961220013266,"(40.778606968353884, -73.83961220013265)"
